make,year,mileage,horsepower,engine_size,num_cylinders,fuel_type,body_style,transmission,color,condition,owner_count,accident_history,service_history,price
Mazda,2023,195279,63,1.8,10,Electric,Wagon,Automatic,Blue,Excellent,4,0,0,45173
Volkswagen,2013,211118,408,4.6,10,Electric,Hatchback,CVT,Gold,Excellent,4,0,1,60248
Volkswagen,2012,165359,269,2.8,3,Diesel,Pickup,Manual,Red,Fair,1,0,0,31741
Honda,2018,229781,220,6.2,6,Gasoline,Crossover,CVT,Blue,Fair,2,0,1,43274
Chevrolet,2019,44711,75,7.0,12,Gasoline,Coupe,CVT,Gold,Fair,4,1,0,40509
Hyundai,2012,148026,167,5.5,6,Electric,SUV,Manual,Black,Excellent,4,1,0,41757
BMW,2011,78340,441,1.4,10,Hybrid,Coupe,Manual,Brown,Good,2,0,0,44336
Chevrolet,2010,208173,370,2.6,12,Diesel,Sedan,CVT,Black,Good,3,0,0,39436
Mazda,2010,207592,286,1.5,8,Hybrid,Sedan,CVT,White,Excellent,4,0,1,35461
Hyundai,2011,223134,229,4.8,3,Hybrid,Wagon,CVT,White,Poor,1,0,0,31646
Volkswagen,2016,107974,93,5.5,10,Hybrid,Wagon,CVT,Gold,Good,4,0,0,37005
Mercedes,2009,154646,310,6.5,4,Gasoline,Hatchback,Manual,Black,Fair,1,0,0,36176
Mazda,2022,145256,306,3.5,4,Electric,Pickup,Manual,Gray,Poor,1,1,0,43655
Toyota,2016,155168,328,6.4,3,Gasoline,Crossover,CVT,Blue,Poor,4,0,1,43002
Honda,2008,72728,200,6.2,8,Electric,Coupe,Automatic,Black,Good,4,0,0,43845
Toyota,2021,170088,333,2.8,10,Diesel,Sedan,Automatic,White,Poor,1,1,1,44738
Mazda,2022,16246,155,6.2,6,Diesel,Wagon,Manual,Black,Poor,2,1,1,41354
Audi,2022,181630,286,3.1,3,Hybrid,Crossover,CVT,Gray,Good,2,0,1,50723
Audi,2008,154453,438,2.6,8,Electric,Coupe,CVT,Black,Good,4,0,0,48570
Kia,2012,132796,98,4.8,6,Electric,Wagon,Manual,Blue,Poor,3,0,1,27205
Chevrolet,2013,172527,361,2.8,4,Electric,Wagon,Automatic,Red,Fair,2,1,1,42644
Volkswagen,2013,97263,88,4.7,4,Hybrid,Sedan,Automatic,Gray,Excellent,4,1,1,30285
Volkswagen,2010,140090,377,4.6,6,Hybrid,Sedan,Automatic,White,Poor,2,0,0,44586
BMW,2023,16302,304,4.3,3,Diesel,Wagon,Manual,Blue,Poor,3,0,1,52350
BMW,2014,72506,295,3.2,4,Gasoline,SUV,Automatic,Black,Fair,4,1,1,33990
BMW,2016,46157,244,4.2,10,Electric,Wagon,Manual,Black,Poor,3,0,1,43652
Mercedes,2018,59917,331,4.5,12,Electric,Crossover,Manual,Red,Poor,4,0,0,57656
Nissan,2019,228810,295,4.2,6,Gasoline,Wagon,CVT,White,Excellent,3,0,0,46841
Ford,2017,101646,298,3.6,6,Electric,Hatchback,Automatic,White,Excellent,2,0,1,59661
Nissan,2023,88122,436,0.9,4,Hybrid,Pickup,Manual,Silver,Excellent,2,0,0,61653
Toyota,2023,29519,325,4.4,3,Hybrid,Hatchback,Automatic,White,Good,3,1,1,54278
Nissan,2015,232881,418,1.8,10,Electric,Hatchback,Automatic,Red,Good,3,1,0,51542
Mercedes,2013,223559,399,4.8,3,Hybrid,SUV,CVT,Brown,Excellent,3,0,0,53727
Kia,2019,192891,448,5.5,8,Hybrid,SUV,Automatic,Silver,Excellent,4,0,0,65617
Toyota,2015,85910,124,3.9,8,Electric,Wagon,CVT,Silver,Good,2,0,0,46255
Nissan,2019,125430,236,4.2,12,Diesel,Hatchback,Manual,Black,Fair,4,0,1,47792
Mercedes,2012,76324,62,6.7,4,Gasoline,SUV,Automatic,Black,Poor,2,0,1,31167
Ford,2015,10408,201,6.1,4,Hybrid,Sedan,Manual,White,Poor,1,1,1,40668
Nissan,2017,64379,435,6.5,4,Diesel,Wagon,Automatic,Silver,Excellent,4,0,0,62784
Mercedes,2019,30053,217,5.8,12,Hybrid,Crossover,Manual,Gold,Fair,2,0,1,62231
BMW,2011,145518,383,1.5,8,Hybrid,Pickup,Automatic,Black,Good,2,0,1,50863
Volkswagen,2017,136994,205,1.7,3,Gasoline,Coupe,Automatic,Red,Excellent,4,1,0,30075
BMW,2015,103723,352,4.1,12,Hybrid,Wagon,Automatic,Gold,Fair,4,1,0,48012
Volkswagen,2017,56356,212,2.3,12,Gasoline,Coupe,Automatic,Black,Fair,2,1,1,41046
Honda,2019,15789,252,3.8,3,Gasoline,Hatchback,Automatic,Gray,Fair,4,1,1,33643
Honda,2009,102720,132,3.2,4,Gasoline,Pickup,Automatic,Gray,Good,3,0,1,27088
Honda,2019,71656,364,4.2,10,Diesel,Coupe,Automatic,Black,Good,4,0,0,57729
Ford,2019,49028,436,5.4,3,Electric,Hatchback,Automatic,Silver,Poor,4,0,1,54009
BMW,2012,69484,403,5.2,8,Diesel,Sedan,Automatic,Brown,Poor,4,0,0,41937
Volkswagen,2016,37154,199,4.0,6,Electric,Coupe,Manual,Brown,Fair,2,0,0,41736
Mercedes,2011,218942,246,5.9,6,Electric,Pickup,CVT,Silver,Fair,3,0,0,41587
Toyota,2023,7336,352,3.5,12,Gasoline,Wagon,Automatic,Blue,Good,1,0,0,63963
Mercedes,2018,108677,120,6.4,6,Hybrid,Hatchback,CVT,Brown,Poor,1,0,0,39966
Toyota,2013,72779,439,1.2,10,Gasoline,Wagon,Automatic,Gray,Fair,3,0,0,44746
Audi,2022,24029,257,6.7,4,Hybrid,Pickup,Automatic,Red,Poor,3,1,1,52884
Mercedes,2008,64201,354,4.9,8,Electric,SUV,Manual,Silver,Poor,3,0,1,52356
Nissan,2016,37265,378,3.2,10,Gasoline,Hatchback,Manual,White,Fair,2,0,0,51957
Nissan,2008,107916,361,2.0,8,Hybrid,Coupe,CVT,Gray,Good,1,0,1,43288
Chevrolet,2012,248322,403,3.8,8,Diesel,Hatchback,Manual,Red,Fair,3,0,0,42090
BMW,2011,179944,70,2.0,4,Hybrid,Wagon,Manual,Red,Fair,2,0,0,17553
Toyota,2020,51197,121,1.8,12,Gasoline,Sedan,CVT,Silver,Poor,1,0,1,36687
Toyota,2019,130733,392,4.6,6,Diesel,Hatchback,Manual,Red,Fair,4,0,0,52182
Mazda,2023,191252,285,4.0,4,Hybrid,Coupe,Automatic,Silver,Good,2,0,0,56189
Kia,2020,159782,212,5.0,10,Hybrid,SUV,CVT,Brown,Fair,1,0,0,50769
BMW,2020,165558,258,6.6,12,Hybrid,Crossover,CVT,Black,Good,2,0,0,62173
Ford,2021,76907,111,4.1,10,Hybrid,Sedan,Automatic,Gray,Good,1,0,1,53930
Chevrolet,2010,133876,319,4.4,12,Hybrid,SUV,Manual,Blue,Poor,1,0,0,49872
Ford,2020,207967,118,1.4,10,Diesel,Hatchback,CVT,Black,Excellent,4,0,0,33709
Ford,2013,69435,131,5.2,4,Electric,Wagon,CVT,Gray,Excellent,2,0,0,41283
Ford,2009,45631,207,3.3,12,Diesel,Pickup,Automatic,Silver,Poor,3,0,1,37308
BMW,2010,134038,408,6.9,12,Diesel,Wagon,Automatic,Gray,Fair,4,0,0,56452
Ford,2023,237604,122,5.9,8,Diesel,Coupe,Manual,Brown,Poor,4,0,1,36643
Nissan,2012,25103,369,4.0,8,Electric,Wagon,CVT,Silver,Good,1,0,0,53912
Kia,2022,69772,432,1.6,3,Gasoline,Sedan,Manual,Black,Excellent,3,1,0,46865
Kia,2016,131108,302,6.1,10,Electric,Wagon,Manual,White,Poor,2,1,0,49309
Honda,2009,19382,425,5.8,8,Diesel,Coupe,Automatic,White,Fair,3,1,0,41621
Audi,2017,89291,389,1.9,3,Hybrid,Crossover,CVT,Gold,Poor,3,0,0,44505
Toyota,2015,106195,166,2.6,8,Hybrid,Hatchback,CVT,Gold,Excellent,3,0,0,39083
Mazda,2021,139828,285,5.7,10,Diesel,Pickup,CVT,Gray,Poor,3,0,1,54714
Toyota,2009,25609,372,1.9,12,Hybrid,Hatchback,Automatic,White,Poor,3,0,0,46669
Audi,2018,152550,277,6.5,6,Diesel,Wagon,Automatic,Silver,Excellent,1,0,1,62746
Mazda,2020,237050,300,3.4,10,Hybrid,SUV,Automatic,Red,Good,1,0,0,56482
BMW,2012,175738,318,1.3,4,Electric,Hatchback,Automatic,Silver,Good,4,1,0,32151
Mercedes,2014,80683,435,5.9,8,Gasoline,Crossover,Automatic,Red,Excellent,1,0,0,62804
BMW,2015,235169,321,3.1,8,Gasoline,Wagon,CVT,Black,Poor,4,1,1,32999
Toyota,2008,129714,64,4.1,12,Electric,Pickup,Manual,Blue,Excellent,4,0,0,34996
Toyota,2013,135330,320,1.5,4,Electric,Coupe,CVT,Red,Good,2,0,0,35863
Mazda,2008,236492,113,0.8,12,Diesel,Crossover,Manual,White,Fair,3,0,0,8853
Mazda,2009,76315,106,4.8,4,Diesel,Wagon,Automatic,Silver,Poor,1,0,0,28996
Audi,2023,82834,274,4.0,6,Diesel,Crossover,Manual,Black,Good,2,1,0,47889
Ford,2022,131205,236,4.5,8,Hybrid,Hatchback,CVT,White,Poor,1,0,0,52084
BMW,2008,19153,68,5.7,8,Diesel,Pickup,CVT,Black,Excellent,4,0,0,34270
Mazda,2018,245487,158,4.8,6,Electric,Coupe,Manual,Blue,Fair,1,1,0,35665
Volkswagen,2012,81325,79,1.9,3,Gasoline,Wagon,Automatic,Brown,Excellent,3,0,1,22370
Audi,2017,245773,437,3.0,12,Hybrid,Sedan,Automatic,Silver,Fair,4,1,0,52696
Nissan,2022,149071,300,6.4,6,Diesel,Coupe,CVT,Gray,Poor,4,0,0,45283
Toyota,2016,60318,120,5.6,12,Hybrid,Sedan,Manual,Silver,Poor,2,0,0,42131
Audi,2013,136886,438,4.3,10,Hybrid,Crossover,Automatic,Gold,Excellent,3,0,1,64943
BMW,2018,120033,237,2.4,8,Diesel,SUV,Automatic,Blue,Fair,4,0,0,36569
Mazda,2018,81077,397,2.7,12,Hybrid,Coupe,CVT,Silver,Fair,3,0,0,58889
Toyota,2008,95474,121,5.3,4,Gasoline,Crossover,Automatic,Gold,Poor,1,0,0,24622
Mercedes,2020,138515,204,6.1,12,Electric,Sedan,Manual,Gray,Excellent,3,1,0,59349
Audi,2008,212065,275,5.0,10,Electric,Hatchback,CVT,Red,Fair,4,1,0,31428
Chevrolet,2009,211988,62,5.8,8,Gasoline,Hatchback,CVT,Black,Poor,2,0,1,16125
Toyota,2016,78319,219,5.6,6,Hybrid,SUV,Manual,Gray,Good,4,0,1,52811
BMW,2010,130885,286,1.7,10,Diesel,Coupe,CVT,White,Excellent,3,0,1,47929
Honda,2022,114777,328,3.4,8,Hybrid,Coupe,Automatic,Blue,Good,3,0,0,58274
Volkswagen,2008,22368,179,1.7,12,Gasoline,Coupe,Automatic,Red,Excellent,4,0,0,25640
Hyundai,2012,151400,440,2.3,3,Hybrid,Crossover,Manual,White,Poor,3,0,0,37580
Ford,2023,193014,148,6.2,3,Electric,Pickup,Automatic,White,Fair,1,0,0,54470
Hyundai,2014,96751,388,3.7,4,Hybrid,Pickup,Manual,Blue,Fair,4,0,0,41373
BMW,2013,235203,127,4.1,8,Gasoline,SUV,Manual,Red,Fair,2,1,1,23177
Nissan,2019,32306,416,1.9,3,Electric,Coupe,Automatic,Brown,Excellent,4,0,0,55498
Nissan,2008,221523,157,2.7,6,Hybrid,Crossover,Manual,White,Poor,1,0,0,17730
Honda,2012,175987,326,2.2,8,Hybrid,Hatchback,Automatic,White,Good,1,0,0,43363
Ford,2022,42219,164,2.1,6,Electric,Sedan,CVT,Red,Poor,1,0,0,40840
Chevrolet,2012,216951,382,4.8,6,Diesel,Crossover,CVT,Silver,Good,1,0,0,43303
Honda,2013,248011,182,2.4,3,Electric,Pickup,Manual,White,Excellent,1,0,1,38802
Kia,2010,200716,88,4.7,8,Diesel,Pickup,Automatic,Black,Excellent,2,1,0,29660
Hyundai,2012,65279,196,1.2,12,Gasoline,Hatchback,Automatic,Red,Good,3,0,1,33592
Honda,2014,58028,254,1.7,10,Gasoline,Hatchback,CVT,White,Good,1,0,1,41998
Hyundai,2012,109263,285,2.5,3,Electric,Sedan,CVT,Blue,Good,1,1,1,34111
Toyota,2012,5126,391,4.5,3,Electric,Hatchback,Automatic,Gray,Poor,4,1,0,42945
Nissan,2012,57329,229,5.0,12,Gasoline,SUV,Manual,Black,Good,2,0,0,46373
Toyota,2017,32632,68,3.5,8,Diesel,Sedan,CVT,Gold,Excellent,2,0,0,40669
Volkswagen,2017,243171,99,3.6,8,Gasoline,Hatchback,Manual,Gold,Excellent,3,0,1,34443
Kia,2010,201382,84,5.3,6,Electric,Wagon,Manual,Gray,Fair,2,0,0,31341
Ford,2008,114945,320,0.9,12,Gasoline,Crossover,CVT,Gold,Good,4,0,1,32610
Chevrolet,2012,60176,285,2.9,12,Electric,Hatchback,Manual,Gray,Poor,4,0,0,44844
Hyundai,2021,222138,183,5.9,8,Electric,SUV,Manual,White,Poor,3,0,0,48500
Chevrolet,2016,241572,97,4.5,6,Gasoline,Coupe,Automatic,Black,Poor,4,0,0,20400
Hyundai,2021,180399,387,2.9,3,Diesel,Hatchback,Manual,Black,Fair,1,0,0,47185
BMW,2008,204976,310,6.4,4,Hybrid,Pickup,Automatic,Silver,Excellent,1,0,0,51073
Honda,2010,139869,448,5.6,10,Gasoline,Pickup,CVT,Gray,Poor,4,0,1,49276
Volkswagen,2020,183954,235,2.4,3,Hybrid,Pickup,CVT,Black,Excellent,3,0,1,46186
Nissan,2020,149790,149,4.8,8,Gasoline,Coupe,Automatic,Silver,Fair,2,0,1,37963
Mazda,2011,39560,96,4.5,10,Hybrid,Pickup,CVT,Red,Good,3,0,1,42062
Hyundai,2021,81589,375,3.3,4,Diesel,Wagon,Manual,Silver,Good,2,0,1,53618
Chevrolet,2008,27116,235,3.1,4,Diesel,Hatchback,Manual,Blue,Good,4,0,0,25588
Volkswagen,2008,172316,343,2.9,6,Gasoline,Pickup,Manual,Brown,Poor,4,0,1,23545
Mercedes,2015,237793,140,4.6,10,Electric,Sedan,CVT,White,Good,1,0,0,43716
Mercedes,2023,137717,173,3.5,6,Hybrid,Coupe,Manual,Red,Poor,2,1,0,40933
Toyota,2009,183595,99,6.0,3,Electric,Wagon,CVT,Brown,Fair,3,1,1,20536
Nissan,2019,129085,360,5.0,12,Electric,Sedan,Manual,Brown,Fair,4,0,0,64763
Mazda,2022,122718,283,1.2,12,Electric,Sedan,Automatic,Red,Poor,3,0,0,53127
BMW,2015,24256,377,4.8,12,Diesel,Sedan,CVT,Blue,Excellent,1,0,0,60698
Chevrolet,2014,237448,408,2.5,10,Gasoline,Sedan,CVT,Silver,Good,2,0,0,42958
Mazda,2017,105158,174,4.5,12,Gasoline,Hatchback,Manual,White,Good,2,0,1,43514
Honda,2017,189245,245,5.0,3,Diesel,Pickup,CVT,Silver,Good,4,1,0,38617
Honda,2009,173502,382,2.2,6,Diesel,Crossover,CVT,Black,Poor,2,0,0,27750
Chevrolet,2013,175354,115,3.6,10,Gasoline,Hatchback,Automatic,Silver,Fair,4,0,0,19576
Ford,2013,124719,99,2.0,6,Electric,Hatchback,Automatic,Gold,Good,1,1,0,28521
BMW,2010,199446,413,1.1,10,Hybrid,Wagon,Manual,Red,Fair,2,1,1,39754
Volkswagen,2018,73244,99,3.1,6,Hybrid,Wagon,Automatic,White,Good,4,1,0,31715
Hyundai,2009,147766,406,3.1,4,Hybrid,Pickup,Manual,Silver,Good,3,0,0,42872
Ford,2019,61264,296,7.0,6,Electric,Crossover,Manual,White,Poor,4,0,1,58233
Hyundai,2008,211132,348,3.6,12,Gasoline,Wagon,Manual,White,Excellent,2,0,1,39309
Hyundai,2013,233488,321,2.9,4,Diesel,Pickup,CVT,Black,Poor,1,0,1,32607
Ford,2019,62545,275,4.4,6,Gasoline,Pickup,Automatic,Black,Good,2,0,1,53643
Toyota,2012,44224,206,1.4,10,Electric,SUV,Manual,Red,Good,2,0,0,41961
Mercedes,2021,238588,395,6.8,10,Diesel,Crossover,Automatic,Blue,Excellent,4,1,0,68055
Hyundai,2021,102945,227,4.7,10,Electric,Wagon,Manual,Gold,Fair,3,0,0,49996
Ford,2018,18224,151,5.5,8,Hybrid,Crossover,Automatic,Brown,Fair,2,0,1,47335
Ford,2016,45738,412,1.9,3,Hybrid,Hatchback,Automatic,White,Good,3,0,0,49869
Kia,2008,161222,118,3.3,10,Electric,Hatchback,Manual,Blue,Fair,4,0,0,22909
Mazda,2023,68731,118,3.4,4,Diesel,Crossover,CVT,Brown,Good,3,0,0,31642
Audi,2022,185760,363,5.9,10,Diesel,SUV,Automatic,Brown,Excellent,4,0,0,74361
Toyota,2022,236001,228,0.8,8,Gasoline,SUV,CVT,Gold,Excellent,1,0,0,40977
Nissan,2014,244690,328,2.7,12,Hybrid,Crossover,CVT,Red,Good,3,1,1,44771
Audi,2022,209581,422,6.9,4,Gasoline,Wagon,Manual,Brown,Excellent,3,0,0,58122
Mazda,2012,144649,104,3.7,8,Gasoline,Coupe,Manual,Gold,Poor,1,1,1,18161
Mazda,2012,13070,404,3.2,12,Electric,SUV,Manual,Brown,Poor,3,0,1,52579
Mazda,2021,131161,240,1.5,4,Electric,Sedan,Automatic,White,Excellent,1,0,0,48891
Audi,2009,13666,229,6.8,6,Gasoline,Hatchback,Manual,White,Good,2,0,0,38897
Chevrolet,2018,62761,415,0.9,3,Hybrid,Crossover,Manual,Gray,Good,4,0,0,45169
Mercedes,2010,41368,250,5.4,3,Electric,Sedan,Automatic,Blue,Excellent,1,0,0,48841
Ford,2014,142855,214,5.6,8,Gasoline,Crossover,Automatic,Silver,Fair,3,0,1,34729
Mercedes,2013,247602,247,2.3,12,Gasoline,Pickup,Manual,Gold,Poor,1,1,0,26370
BMW,2023,46914,66,5.0,3,Gasoline,Hatchback,Manual,Black,Fair,3,1,0,34193
Chevrolet,2019,206579,192,1.4,12,Gasoline,Hatchback,Manual,Gold,Good,2,0,0,41307
Nissan,2009,132738,294,2.4,12,Gasoline,SUV,Manual,Silver,Good,1,1,1,40024
Mercedes,2013,215098,104,5.7,8,Gasoline,SUV,CVT,Blue,Fair,2,0,1,34326
Honda,2009,247327,373,6.2,8,Electric,Sedan,CVT,Black,Excellent,4,1,1,55142
Mazda,2009,246688,308,4.6,8,Hybrid,Pickup,Manual,Silver,Fair,3,0,1,40293
Hyundai,2009,72526,90,3.9,3,Gasoline,Crossover,CVT,Gray,Fair,3,0,0,16906
BMW,2021,206907,82,1.8,8,Diesel,Pickup,Automatic,Black,Poor,2,1,1,23919
Toyota,2022,181837,219,1.2,3,Electric,Hatchback,CVT,White,Poor,4,0,0,29446
Nissan,2018,24956,422,1.5,8,Electric,Sedan,CVT,Silver,Fair,1,1,1,55023
BMW,2010,223967,217,2.2,10,Gasoline,Coupe,Manual,Gold,Fair,1,0,1,24578
Mazda,2022,51240,98,2.9,12,Electric,Sedan,CVT,Black,Good,3,0,0,47198
Hyundai,2009,126008,141,3.2,8,Gasoline,Wagon,CVT,Gray,Poor,2,0,1,18532
Chevrolet,2011,173220,415,2.9,4,Hybrid,Sedan,CVT,Gold,Poor,2,0,1,34582
Hyundai,2016,99270,317,2.3,12,Hybrid,Pickup,CVT,Brown,Good,1,0,0,52817
Audi,2013,9757,265,4.0,12,Electric,Wagon,Automatic,Black,Excellent,4,1,1,55425
Hyundai,2008,24097,136,5.9,8,Electric,Wagon,Manual,Black,Poor,4,0,0,37876
Audi,2015,146467,71,2.5,6,Diesel,Wagon,Manual,Gray,Poor,1,1,0,20706
Chevrolet,2022,152313,354,6.6,8,Electric,Coupe,Automatic,Brown,Excellent,1,1,0,73179
Volkswagen,2019,108892,283,6.2,12,Diesel,Sedan,CVT,Silver,Poor,2,0,0,49842
Mazda,2021,163768,72,1.8,4,Hybrid,Pickup,Automatic,Red,Poor,4,1,1,24664
Audi,2014,75480,105,5.7,12,Hybrid,Sedan,CVT,Silver,Excellent,1,1,1,48084
Toyota,2017,51163,214,4.4,4,Gasoline,Coupe,Automatic,Brown,Excellent,1,1,1,45277
Hyundai,2010,24816,172,4.3,3,Hybrid,Hatchback,Manual,Blue,Fair,3,1,0,23443
Hyundai,2008,185912,292,3.2,10,Diesel,SUV,Manual,Gold,Good,1,1,1,43728
Toyota,2012,238619,76,3.9,12,Electric,Pickup,Manual,Gray,Good,1,0,0,38909
Honda,2020,57853,419,3.3,8,Gasoline,Pickup,CVT,Silver,Excellent,4,0,1,61805
Ford,2011,160989,282,4.1,3,Diesel,Sedan,CVT,Black,Excellent,2,1,0,28353
Volkswagen,2017,101731,413,4.7,10,Electric,SUV,Automatic,Gray,Poor,4,0,0,60758
Nissan,2015,157638,247,5.0,8,Gasoline,Crossover,Automatic,White,Fair,2,0,1,45238
Audi,2008,211524,403,4.1,6,Hybrid,Crossover,Manual,Brown,Fair,3,0,0,38551
Toyota,2017,67823,424,5.3,8,Diesel,Coupe,CVT,Gold,Excellent,1,1,0,55788
Chevrolet,2008,156878,222,1.7,4,Electric,Crossover,Automatic,Silver,Poor,3,0,0,20814
Audi,2019,211592,385,2.1,4,Gasoline,Pickup,CVT,Gray,Poor,2,1,0,39697
Ford,2011,6759,133,5.9,6,Gasoline,Crossover,CVT,Gold,Good,4,0,0,31975
Chevrolet,2015,178021,292,2.8,3,Hybrid,Hatchback,Manual,Silver,Good,4,0,0,36846
BMW,2012,97374,283,0.9,10,Electric,Hatchback,Manual,Gray,Poor,3,0,0,39765
Mazda,2009,138554,378,1.8,8,Hybrid,Hatchback,CVT,Black,Good,2,0,0,40059
Hyundai,2013,29442,119,2.2,4,Hybrid,Crossover,CVT,White,Excellent,3,0,1,35929
BMW,2012,169791,394,6.7,3,Electric,Coupe,CVT,White,Poor,3,1,0,44130
Audi,2009,194138,281,4.4,6,Electric,Wagon,CVT,Blue,Good,1,1,1,41911
Ford,2020,98501,96,6.6,12,Electric,Wagon,Manual,Gray,Fair,3,0,1,54642
Volkswagen,2021,7079,337,4.4,4,Diesel,SUV,Automatic,Silver,Poor,1,0,0,55264
Mazda,2018,138789,255,3.8,6,Electric,Wagon,Manual,White,Poor,1,1,1,42092
Audi,2018,64676,411,2.7,8,Gasoline,Wagon,Automatic,Brown,Fair,4,1,1,42705
Toyota,2023,164024,301,4.6,10,Hybrid,Hatchback,CVT,White,Excellent,1,0,1,62520
